id,text,class,language
1,This photo has a soft focus. Could you sharpen it for me?,blur,en
2,Cette photo a une mise au point douce. Pourriez-vous l'aiguiser pour moi ?,blur,fr
3,Esta foto tiene un enfoque suave. ¿Podrías afilarlo por mí?,blur,es
4,Dieses Foto hat einen Weichzeichner. Könnten Sie es für mich schärfen?,blur,de
5,Deze foto heeft een zachte focus. Zou je het voor mij kunnen slijpen?,blur,nl
6,The hazy overlay is making this photo look dull. Can you make it more vibrant?,haze,en
7,La superposition floue rend cette photo terne. Pouvez-vous le rendre plus dynamique ?,haze,fr
8,La superposición borrosa hace que esta foto parezca aburrida. ¿Puedes hacerlo más vibrante?,haze,es
9,Durch die verschwommene Überlagerung sieht dieses Foto langweilig aus. Können Sie es lebendiger machen?,haze,de
10,De wazige overlay zorgt ervoor dat deze foto er saai uitziet. Kun je het levendiger maken?,haze,nl
11,This picture has too much haze to use for my project. Could you enhance it?,haze,en
12,Cette image est trop floue pour être utilisée pour mon projet. Pourriez-vous l'améliorer ?,haze,fr
13,Esta imagen tiene demasiada neblina para usarla en mi proyecto. ¿Podrías mejorarlo?,haze,es
14,"Dieses Bild hat zu viel Dunst, um es für mein Projekt zu verwenden. Könnten Sie es verbessern?",haze,de
15,Deze foto heeft te veel waas om voor mijn project te gebruiken. Zou je het kunnen verbeteren?,haze,nl
16,Please make the fish swimming over the reef more prominent by increasing contrast subtly.,UWIR,en
17,Veuillez rendre les poissons nageant au-dessus du récif plus visibles en augmentant subtilement le contraste.,UWIR,fr
18,Haga que los peces que nadan sobre el arrecife sean más prominentes aumentando sutilmente el contraste.,UWIR,es
19,"Bitte machen Sie die Fische, die über dem Riff schwimmen, deutlicher, indem Sie den Kontrast subtil erhöhen.",UWIR,de
20,Maak de vissen die over het rif zwemmen duidelijker zichtbaar door het contrast subtiel te vergroten.,UWIR,nl
21,"Can you upscale this blurry winter festival photo so the snowflakes, lanterns, and coats of the children are sharp?",SR,en
22,"Pouvez-vous redimensionner cette photo floue du festival d'hiver pour que les flocons de neige, les lanternes et les manteaux des enfants soient nets ?",SR,fr
23,"¿Puedes mejorar esta foto borrosa del festival de invierno para que los copos de nieve, las linternas y los abrigos de los niños sean nítidos?",SR,es
24,"Können Sie dieses verschwommene Winterfestfoto so hochskalieren, dass die Schneeflocken, Laternen und Mäntel der Kinder scharf sind?",SR,de
25,"Kun jij deze wazige winterfestivalfoto opschalen, zodat de sneeuwvlokken, lantaarns en jassen van de kinderen scherp zijn?",SR,nl
26,The rain is making this image look dull and washed out. Can you brighten it up?,rain,en
27,La pluie rend cette image terne et délavée. Pouvez-vous l'égayer ?,rain,fr
28,La lluvia hace que esta imagen parezca aburrida y descolorida. ¿Puedes alegrarlo?,rain,es
29,Der Regen lässt dieses Bild langweilig und verwaschen aussehen. Kannst du es aufhellen?,rain,de
30,Door de regen ziet dit beeld er dof en vervaagd uit. Kun jij het opfleuren?,rain,nl
31,This image looks flat due to the haze. Can you enhance the depth and contrast?,haze,en
32,Cette image semble plate à cause de la brume. Pouvez-vous améliorer la profondeur et le contraste ?,haze,fr
33,Esta imagen parece plana debido a la neblina. ¿Puedes mejorar la profundidad y el contraste?,haze,es
34,Dieses Bild wirkt aufgrund der Trübung flach. Können Sie die Tiefe und den Kontrast verbessern?,haze,de
35,Deze afbeelding ziet er plat uit vanwege de waas. Kun je de diepte en het contrast verbeteren?,haze,nl
36,The grain in this photo is ruining its clarity. Please make it look smoother.,noise,en
37,"Le grain de cette photo gâche sa clarté. S'il vous plaît, rendez-le plus lisse.",noise,fr
38,La veta de esta foto está arruinando su claridad. Por favor haz que se vea más suave.,noise,es
39,"Die Körnung auf diesem Foto beeinträchtigt die Klarheit. Bitte sorgen Sie dafür, dass es glatter aussieht.",noise,de
40,De korrel in deze foto verpest de helderheid. Zorg ervoor dat het er gladder uitziet.,noise,nl
41,This photo needs to look clean and clear. Could you remove the haze for me?,haze,en
42,Cette photo doit être propre et claire. Pourriez-vous supprimer la brume pour moi ?,haze,fr
43,Esta foto debe verse limpia y clara. ¿Podrías quitarme la neblina?,haze,es
44,Dieses Foto muss sauber und klar aussehen. Könnten Sie den Dunst für mich entfernen?,haze,de
45,Deze foto moet er schoon en duidelijk uitzien. Kunt u de waas voor mij verwijderen?,haze,nl
46,This photo needs a vibrant and sharp look. Could you remove the haze for me?,haze,en
47,Cette photo a besoin d’un look vibrant et net. Pourriez-vous supprimer la brume pour moi ?,haze,fr
48,Esta foto necesita una apariencia vibrante y nítida. ¿Podrías quitarme la neblina?,haze,es
49,Dieses Foto braucht einen lebendigen und scharfen Look. Könnten Sie den Dunst für mich entfernen?,haze,de
50,Deze foto heeft een levendige en scherpe uitstraling nodig. Kunt u de waas voor mij verwijderen?,haze,nl
51,The rain is dulling the vibrancy of this photo. Could you brighten it up and enhance it?,rain,en
52,La pluie atténue le dynamisme de cette photo. Pourriez-vous l'égayer et le mettre en valeur ?,rain,fr
53,La lluvia está opacando la vitalidad de esta foto. ¿Podrías iluminarlo y realzarlo?,rain,es
54,Der Regen trübt die Lebendigkeit dieses Fotos. Könnten Sie es aufhellen und verbessern?,rain,de
55,De regen vervaagt de levendigheid van deze foto. Kunt u het opvrolijken en versterken?,rain,nl
56,This image looks too stormy. Can you edit it to make it look bright and clear?,rain,en
57,Cette image semble trop orageuse. Pouvez-vous le modifier pour le rendre clair et lumineux ?,rain,fr
58,Esta imagen parece demasiado tormentosa. ¿Puedes editarlo para que se vea brillante y claro?,rain,es
59,"Dieses Bild sieht zu stürmisch aus. Können Sie es bearbeiten, damit es hell und klar aussieht?",rain,de
60,Dit beeld ziet er te stormachtig uit. Kun je het bewerken zodat het er helder en duidelijk uitziet?,rain,nl
61,The blur in this picture makes it hard to see the details. Can you sharpen it?,blur,en
62,Le flou sur cette image rend difficile la visualisation des détails. Pouvez-vous l'aiguiser ?,blur,fr
63,El desenfoque en esta imagen dificulta ver los detalles. ¿Puedes afilarlo?,blur,es
64,"Die Unschärfe in diesem Bild macht es schwierig, die Details zu erkennen. Kannst du es schärfen?",blur,de
65,Door de onscherpte op deze foto zijn de details moeilijk te zien. Kun je het slijpen?,blur,nl
66,Can you help make this image smoother? The noise is ruining the overall quality.,noise,en
67,Pouvez-vous nous aider à rendre cette image plus fluide ? Le bruit gâche la qualité globale.,noise,fr
68,¿Puedes ayudar a que esta imagen sea más suave? El ruido está arruinando la calidad general.,noise,es
69,"Können Sie dazu beitragen, dieses Bild flüssiger zu machen? Der Lärm beeinträchtigt die Gesamtqualität.",noise,de
70,Kunt u helpen dit beeld vloeiender te maken? Het geluid verpest de algehele kwaliteit.,noise,nl
71,Could you brighten this dark photo and reveal more details?,LLIE,en
72,Pourriez-vous éclaircir cette photo sombre et révéler plus de détails ?,LLIE,fr
73,¿Podrías iluminar esta foto oscura y revelar más detalles?,LLIE,es
74,Könnten Sie dieses dunkle Foto aufhellen und mehr Details offenbaren?,LLIE,de
75,Kun je deze donkere foto ophelderen en meer details onthullen?,LLIE,nl
76,Can you remove the foggy look from this picture and make it more vibrant?,haze,en
77,Pouvez-vous supprimer l'aspect brumeux de cette image et la rendre plus vibrante ?,haze,fr
78,¿Puedes eliminar la apariencia brumosa de esta imagen y hacerla más vibrante?,haze,es
79,Können Sie den Nebel aus diesem Bild entfernen und es lebendiger machen?,haze,de
80,Kun jij de mistige uitstraling van deze foto verwijderen en deze levendiger maken?,haze,nl
81,Can you sharpen this photo and remove the fuzziness?,blur,en
82,Pouvez-vous rendre cette photo plus nette et supprimer le flou ?,blur,fr
83,¿Puedes enfocar esta foto y eliminar la borrosidad?,blur,es
84,Können Sie dieses Foto schärfen und die Unschärfe entfernen?,blur,de
85,Kun jij deze foto verscherpen en de wazigheid verwijderen?,blur,nl
86,Can you adjust the exposure of this image to make it more visible?,LLIE,en
87,Pouvez-vous ajuster l'exposition de cette image pour la rendre plus visible ?,LLIE,fr
88,¿Puedes ajustar la exposición de esta imagen para hacerla más visible?,LLIE,es
89,"Können Sie die Belichtung dieses Bildes anpassen, um es besser sichtbar zu machen?",LLIE,de
90,Kunt u de belichting van deze afbeelding aanpassen om deze beter zichtbaar te maken?,LLIE,nl
91,Can you reduce the foggy look in this photo and make it more vibrant?,haze,en
92,Pouvez-vous réduire l’aspect brumeux de cette photo et la rendre plus vibrante ?,haze,fr
93,¿Puedes reducir la apariencia brumosa de esta foto y hacerla más vibrante?,haze,es
94,Können Sie den nebligen Eindruck auf diesem Foto reduzieren und es lebendiger machen?,haze,de
95,Kun jij het mistige uiterlijk op deze foto verminderen en levendiger maken?,haze,nl
96,Please upscale this childhood photo so the clothing patterns and smiles are visible without blockiness.,SR,en
97,Veuillez améliorer cette photo d'enfance afin que les motifs des vêtements et les sourires soient visibles sans blocage.,SR,fr
98,Mejore esta foto de la infancia para que los patrones de ropa y las sonrisas sean visibles sin bloqueos.,SR,es
99,"Bitte skalieren Sie dieses Kindheitsfoto hoch, damit die Kleidungsmuster und das Lächeln ohne Blockierung sichtbar sind.",SR,de
100,"Schaal deze kinderfoto op, zodat de kledingpatronen en glimlachen zichtbaar zijn zonder blokvorming.",SR,nl
101,The noise in this image makes it look pixelated. Can you fix it?,noise,en
